Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,53593,"Verona, WI",*,418100.000000,0.0136,0.0029,147.0,0.0426,0.0000,72.00,-0.3010,,36.0,-0.1000,-0.2174,0.0,,-1.0000,4.0,-0.3333,-0.6667,0.0,,,489941.0000,0.0468,0.0674,147.0,0.0426,0.0000,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53594,"Waterloo, WI",,178725.000000,0.0298,0.0239,16.0,0.1852,-0.1111,51.25,-0.4176,0.7083,4.0,,-0.6667,0.0,,,4.0,1.0000,1.0000,0.0,,,253867.0000,0.0097,0.2239,16.0,0.1852,-0.1111,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53597,"Waunakee, WI",,522050.000000,0.0024,-0.0149,77.0,0.0694,0.0694,54.75,-0.2551,-0.1828,28.0,0.2727,0.4000,2.0,,,12.0,0.0000,1.0000,0.0,,,530977.0000,-0.0002,0.0047,77.0,0.0694,0.0694,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53598,"Windsor, WI",*,379950.000000,0.0303,,36.5,0.0580,,69.75,-0.1442,,6.0,0.0000,2.0000,6.0,0.5000,,2.0,0.0000,,0.0,,,366087.0000,0.0470,0.0305,36.5,0.0580,1.9200,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53703,"Madison, WI",,477500.000000,-0.1012,0.2050,47.5,-0.0404,0.2500,78.50,0.0979,-0.2323,14.0,0.0000,0.4000,0.0,,,4.0,0.0000,1.0000,0.0,,,499128.0000,-0.0685,0.0871,47.5,-0.0404,0.2500,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53704,"Madison, WI",*,228225.000000,0.0408,0.0618,75.5,-0.1469,0.0134,59.00,-0.0781,,24.0,-0.1429,-0.3684,0.0,,,6.0,-0.4000,0.0000,0.0,,,312278.0000,-0.0355,-0.1049,75.5,-0.1469,0.0134,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53705,"Madison, WI",*,344750.000000,-0.0151,,28.0,-0.1250,-0.0345,34.25,-0.4830,-0.1747,16.0,0.3333,0.1429,0.0,,,4.0,0.0000,0.0000,0.0,,,547396.0000,0.0214,-0.1020,28.0,-0.1250,-0.0345,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53711,"Madison, WI",,349950.000000,0.0687,0.1429,135.0,-0.0288,0.0714,62.25,-0.2762,-0.0496,64.0,0.6842,0.2800,0.0,,,8.0,-0.3333,-0.3333,0.0,,,386402.0000,0.0589,0.0967,135.0,-0.0288,0.0714,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53713,"Madison, WI",*,223775.000000,0.1935,0.2515,17.0,-0.0556,-0.0286,46.50,-0.4038,,8.0,1.0000,-0.4286,0.0,,,0.0,,,0.0,,,243774.0000,0.0528,0.1370,17.0,-0.0556,-0.0286,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53714,"Madison, WI",,225050.000000,0.0001,0.1141,18.0,-0.0270,-0.3793,31.75,-0.5348,-0.1699,6.0,-0.4000,-0.6250,0.0,,,4.0,,1.0000,0.0,,,230353.0000,-0.0193,0.1464,18.0,-0.0270,-0.3793,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53716,"Madison, WI",,269950.000000,0.0907,0.1249,31.5,0.0000,-0.0597,41.25,-0.2143,0.2891,12.0,0.2000,0.0000,0.0,,,4.0,-0.3333,,0.0,,,336058.0000,0.0094,0.1253,31.5,0.0000,-0.0597,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53717,"Madison, WI",*,337500.000000,0.0713,-0.0621,32.5,0.0484,0.6667,65.25,-0.2232,,12.0,0.5000,-0.2500,0.0,,,6.0,0.5000,2.0000,0.0,,,339760.0000,0.0539,-0.1595,32.5,0.0484,0.6667,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53718,"Madison, WI",*,319950.000000,0.1326,,81.0,-0.1518,,83.50,0.0309,,18.0,-0.1818,0.1250,0.0,,,6.0,2.0000,,0.0,,,311691.0000,0.0600,0.1178,81.0,-0.1518,1.0769,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53719,"Madison, WI",,290000.000000,0.0002,0.0941,68.0,-0.2444,0.1148,38.00,-0.4591,0.0201,24.0,-0.2941,-0.2000,0.0,,,6.0,0.5000,2.0000,0.0,,,287591.0000,0.0040,0.0667,68.0,-0.2444,0.1148,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53805,"Boscobel, WI",*,99750.000000,-0.1269,-0.1956,11.0,-0.0833,-0.2414,147.50,0.3288,,2.0,-0.5000,-0.5000,0.0,,,0.0,,,0.0,,,205564.0000,-0.0720,0.2683,11.0,-0.0833,-0.2414,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53813,"Lancaster, WI",,144775.000000,0.1132,0.2070,19.0,0.0000,-0.1364,98.50,-0.2836,0.1867,4.0,-0.3333,1.0000,0.0,,,4.0,1.0000,0.0000,0.0,,,194281.0000,0.1981,0.4877,19.0,0.0000,-0.1364,0.0000,0.0000,0.0000
